中国成人2型糖尿病胰岛素促泌剂应用的专家共识	O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O
胰岛素抵抗和β细胞胰岛素分泌缺陷是2型糖尿病发病的两大因素胰岛素抵抗常常是2型糖尿病发生的始动因素但如果β细胞胰岛素分泌功能保持其代偿能力2型糖尿病并不会发生因此β细胞胰岛素分泌功能缺陷是2型糖尿病发病病的中心环节之一(5级)	B-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;E-Pathogenesis;O;B-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;E-Pathogenesis;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;B-Reason;I-Reason;I-Reason;I-Reason;E-Reason;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;B-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;E-Pathogenesis;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O
事实上在糖尿病诊断前约10~15年β细胞胰岛素分泌功能已开始逐渐下降(2b级)	O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;B-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;E-Pathogenesis;O;O;O;O;O
在中国新诊断2型糖尿病患者中胰岛素抵抗为主胰岛素分泌缺陷为主以及胰岛素分泌缺陷伴胰岛素抵抗的患者各占约1/3(2c级)	O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;B-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;E-Pathogenesis;O;O;B-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;E-Pathogenesis;O;O;O;O;B-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;E-Pathogenesis;O;B-Pathogenesis;I-Pathogenesis;I-Pathogenesis;I-Pathogenesis;E-Pathogenesis;O;O;O;O;O;O;O;O;O;O;O;O;O;O
胰岛素促泌剂的分类	B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O
目前国内常用的胰岛素促泌剂分为磺脲类和格列奈类	O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;B-Drug;I-Drug;E-Drug;O;B-Drug;I-Drug;I-Drug;E-Drug
格列吡嗪和格列喹酮)和半衰期较长的中长效促泌剂(如普通剂型的格列美脲格列本脲和格列齐特以及改良剂型的格列吡嗪控释片和格列齐特缓释片)	B-Drug;I-Drug;I-Drug;E-Drug;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;B-Drug;I-Drug;I-Drug;E-Drug;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O
常用的各种胰岛素促泌剂的药理特点如下(表2)	O;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O
胰岛素促泌剂的降糖机制	B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O
一促胰岛素分泌作用	O;O;O;O;O;O;O;O;O
促胰岛素分泌的差异取决于不同药物的药代动力学特性与SUR一1结合的亲和力以及解离速度	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
二部分胰岛素增敏作用	O;O;O;B-Drug;I-Drug;E-Drug;O;O;O;O
近年采用葡萄糖钳夹技术研究发现磺脲类促泌剂可使人体外周葡萄糖利用增加10%~52%(平均29%)但大多数学者认为此作用可能主要是继发于葡萄糖毒性作用的改善	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
磺脲类促泌剂还可以通过其他机制降低血糖	B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;B-Test_items;E-Test_items
Simonson等和Best等证明了磺脲类促泌剂降低空腹血糖的作用还与其抑制基础肝糖的生成密切相关(5级)	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;B-Test_items;I-Test_items;I-Test_items;E-Test_items;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
胰岛素促泌剂的临床效果	B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O
一降糖效果	O;O;O;O;O
胰岛素促泌剂降糖作用强且降糖作用在常规剂量内呈剂量依赖性除那格列奈外单药治疗一般可平均降低HbA1c2%左右甚至降低2%以上(5级)	B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;B-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;O;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;O;O;O
1.磺脲类促泌剂	O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug
磺脲类促泌剂是一类应用时间长降糖疗效肯定安全性高的降糖药物	B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
短效磺脲类及格列奈类促泌剂半衰期短作用迅速主要降低2型糖尿病患者餐后血糖主要包括	B-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;B-Test_items;I-Test_items;I-Test_items;E-Test_items;O;O;O;O
格列喹酮和格列吡嗪瑞格列奈和那格列奈等	B-Drug;I-Drug;I-Drug;E-Drug;O;B-Drug;I-Drug;I-Drug;E-Drug;B-Drug;I-Drug;I-Drug;E-Drug;O;B-Drug;I-Drug;I-Drug;E-Drug;O
中长效磺脲类促泌剂半衰期长作用较持久明显降低2型糖尿病患者空腹和餐后血糖	B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items
格列本脲与β细胞膜SUR亲和力强降糖疗效强但低血糖的发生率高(1a级)	B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-ADE;I-ADE;E-ADE;O;O;O;O;O;O;O;O;O;O
格列美脲与β细胞膜SUR结合及解离的速度较格列本脲为快低血糖发生率有所降低(2b级)	B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;B-ADE;I-ADE;E-ADE;O;O;O;O;O;O;O;O;O;O;O;O
且在血糖控制相同的情况下格列美脲较格列本脲治疗时的空腹及餐后胰岛素和C肽水平为低(2b级)	O;O;B-Test_items;E-Test_items;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;O;B-Test_items;I-Test_items;I-Test_items;E-Test_items;O;O;O;O;O;O;O
其活性成分的释放更符合2型糖尿病患者24h血糖变化特点低血糖尤其是严重低血糖的发生更少(4级)	O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;O;O;O;O;B-ADE;I-ADE;E-ADE;O;O;O;B-ADE;I-ADE;I-ADE;I-ADE;E-ADE;O;O;O;O;O;O;O;O;O
格列奈类促泌剂直接刺激胰岛β细胞分泌胰岛素其最大特点是改善早相分泌起效快作用时间短以降低餐后血糖为主且低血糖风险小受肾功能影响小(3b级)	B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Test_items;I-Test_items;I-Test_items;E-Test_items;O;O;O;B-ADE;I-ADE;E-ADE;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
一般需1日多次服用	O;O;O;B-Frequency;I-Frequency;I-Frequency;E-Frequency;O;O
2.大血管并发症	O;O;B-Anatomy;I-Anatomy;E-Anatomy;O;O;O
对新诊断的2型糖尿病患者UKPDS以格列本脲和氯磺丙脲为基础的降糖治疗其后续研究5年随访未显示明显的大血管获益10年随访心肌梗死风险下降15%(P0.011b级)	O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
对病程较长且合并心血管高危因素的患者ADVANCE发现以格列齐特缓释片为基础的降糖治疗5年HbA1c降至6.5%时心血管死亡相对风险下降12%(P0.121b级)	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;B-Duration;E-Duration;B-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;B-Anatomy;I-Anatomy;E-Anatomy;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
对伴有持续性微量白蛋白尿的非超重2型糖尿病患者Steno-2研究结果显示采用以格列齐特为基础的降糖治疗结合多因素强化干预心血管疾病相对风险下降53%(P0.0081b级)	O;O;O;O;O;O;B-Level;E-Level;B-Disease;I-Disease;I-Disease;E-Disease;O;O;B-Disease;E-Disease;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
对UKPDS和ADVANCE等研究的meta分析结果显示以氯磺丙脲格列本脲和格列齐特缓释片为基础的降糖治疗可使2型糖尿病患者非致死性心肌梗死风险显著降低17%冠心病风险显著降低15%(1a级)	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;B-Drug;I-Drug;I-Drug;E-Drug;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O
三降低全因死亡的效果	O;O;O;O;O;O;O;O;O;O
由于糖尿病使心脏病或卒中风险加倍多数医生和患者非常关注心脑血管疾病而糖尿病导致死亡的其他因素却较少受到关注	O;O;B-Disease;I-Disease;E-Disease;O;B-Disease;I-Disease;E-Disease;O;B-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
近期的一项研究显示40%的糖尿病患者死于非心血管疾病包括肾病感染癌症老年痴呆症慢性阻塞性肺疾病神经系统疾病等提示关注糖尿病患者全因死亡非常重要(2b级)	O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;B-Disease;E-Disease;B-Disease;E-Disease;B-Disease;E-Disease;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
ADVANCE显示以格列齐特缓释片为基础的强化降糖治疗组随访5年全因死亡有降低的趋势(1b级)	O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
UKPDS试验后继续10年的随访结果显示	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
格列本脲和氯磺丙脲治疗组的患者全因死亡风险下降13%(P0.0071b级)	B-Drug;I-Drug;I-Drug;E-Drug;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
安全性	O;O;O
一低血糖风险	O;B-Disease;I-Disease;E-Disease;O;O
磺脲类促泌剂可导致低血糖的发生但剂型改良后的缓释控释制剂格列奈类及格列美脲低血糖发生率相对较低	B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;B-ADE;I-ADE;E-ADE;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;B-Drug;I-Drug;I-Drug;E-Drug;B-ADE;I-ADE;E-ADE;O;O;O;O;O;O;O
GUIDE研究结果显示在血糖水平控制相似的情况下不同磺脲类促泌剂所致低血糖发生风险不同(1b级)	O;O;O;O;O;O;O;O;O;O;O;O;B-Test_items;E-Test_items;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;B-ADE;I-ADE;E-ADE;O;O;O;O;O;O;O;O;O;O;O
ADVANCE以格列齐特缓释片为基础的降糖治疗严重低血糖年发生率仅为UKPDS采用格列本脲和氯磺丙脲为基础的降糖治疗的1/4(1b级)	O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;B-ADE;I-ADE;I-ADE;I-ADE;E-ADE;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
二对体重的影响	O;O;O;O;O;O;O
肥胖是多种慢性疾病特别是心脑血管疾病发生进展的危险因素因此应该高度重视	B-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
一般认为磺脲类药物治疗可引起体重增加	O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;B-ADE;I-ADE;I-ADE;E-ADE
UKPDS表明以格列本脲为基础的降糖治疗患者体重增加1.7kg(1b级)	O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;B-ADE;I-ADE;I-ADE;E-ADE;O;O;O;O;O;O;O;O;O;O
而ADVANCE以格列齐特缓释片为基础的联合降糖治疗随访5年平均体重并未增加(1b级)	O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
剂型改良后的磺脲类促泌剂格列奈类及格列美脲对体重影响较小	O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;B-Drug;I-Drug;I-Drug;E-Drug;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O
三对β细胞功能的影响	O;O;O;O;O;O;O;O;O;O
因此磺脲类胰岛素促泌剂并不加速β细胞胰岛素分泌功能的衰竭	O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
四肿瘤风险	O;O;O;O;O
近期发表的ADVANCE亚组分析显示以格列齐特缓释片为基础的降糖治疗并不增加患者肿瘤风险(2b级)	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
五心血管风险	O;O;O;O;O;O
美国大学组糖尿病研究项目(UGDP)研究提出甲苯磺丁脲可能增加2型糖尿病患者心血管死亡风险	O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;B-ADE;I-ADE;I-ADE;I-ADE;I-ADE;I-ADE;E-ADE
胰岛素促泌剂其他少见不良反应包括头晕乏力头痛皮疹恶心和胃肠道不良反应(呕吐腹痛腹泻等)	B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;B-ADE;E-ADE;B-ADE;E-ADE;B-ADE;E-ADE;B-ADE;E-ADE;B-ADE;E-ADE;O;B-ADE;I-ADE;I-ADE;I-ADE;I-ADE;I-ADE;E-ADE;O;B-ADE;E-ADE;B-ADE;E-ADE;B-ADE;E-ADE;O;O
一般对症处理和调理药物剂量后上述症状可以缓解或消失	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
新型的如格列美脲格列奈类及剂型改良后的磺脲类促泌剂这些情况更少见	O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O
胰岛素促泌剂用药原则	B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O
一胰岛素促泌剂总的用药原则	O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O
1.胰岛素促泌剂的适应证	O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O
一般而言有一定β细胞功能无胰岛素促泌剂使用禁忌的2型糖尿病患者可考虑选用胰岛素促泌剂为不适合使用二甲双胍的2型糖尿病患者的治疗首选或其他口服降糖药物治疗血糖控制不佳的2型糖尿病患者联合用药方案首选(5级)	O;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;B-Method;E-Method;O;O;O;O;O;O;B-Test_items;E-Test_items;B-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O
2.胰岛素促泌剂的禁忌证	O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O
